"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"1","1","What is computer architecture?","b","1","set of categories and methods that specify the functioning, organisation, and implementation of computer systems","set of principles and methods that specify the functioning, organisation, and implementation of computer systems","set of functions and methods that specify the functioning, organisation, and implementation of computer systems","None of the mentioned","",""
"1","2","What is computer organization?","a","1","structure and behaviour of a computer system as observed by the user","structure of a computer system as observed by the developer","structure and behaviour of a computer system as observed by the
developer","All of the mentioned","",""
"1","3","Represent fix point representation for Unsigned Binary no 0110110 using 4
integer bits and 3 fractional bits in decimal.","0110.110,(6.75)10","1","","","","","",""
"1","4","Represent (-7.5)10 in i)signed magnitude ii)1's compliment iii) 2's compliment","i)(1111.1000)2
ii)(1000.0111)2 iii)(1000.1000)2","2","","","","","",""
"1","5","Compute(0.75)10 +(-0.625)10 using fixpoint representation.","(0000.0010)2","1","","","","","",""
"1","6","Assume no using 32 bit representation 1 for sign,15 for integer bits and 16 for fractional part.for  no (-43.625)10","(10000000001010
11.101000000000
0000)2","2","","","","","",""
"1","7","Convert decimal no 7.75 to fixed point binary","(0111.1100)2","1","","","","","",""
"1","8","The binary number is stored in 2's compliment form having 8 bit integer and 4 bit fractional part.Convert them in decimal fractional.
i)0111 1111.1111
ii)1111 1111.1111
iii)0000 0111.0010","i)(127.9375)10 ii)(-0.0625)10
iii)(7.125)10","3","","","","","",""
"1","9","Using 2's copliment form convert the following decimal no in to fixed point binary no stored in 16- bit register having 4-bit after decimal point.
a)7.5
b)-45.75","a)(0000 0000
0111.1000)2
b)(1111 1110
0010.0100)2","2","","","","","",""
"1","10","Represent no in to 32 bit ANSI IEEE format (-0.125)","1 1111110
10000...","2","","","","","",""
"1","11","Convert -17 in standard floting point format.","1 0000101
1000100...","2","","","","","",""
"1","12","What is 16 bit pattern which represent(-13.5) in normalized signed magnitude fraction
S=1 bit,E=7 bits, M=8 bits","1 0000100  1101
1000","2","","","","","",""
"1","13","Represent binary floting point no in to decimal formate in which 9 bits are
for M .Which are followed by MSD bit which is sign bit and last 6 bits are E bits.
0110100000000011","(6.5)10","2","","","","","",""
"1","14","Represent binary floting point no in to decimal formate in which 9 bits are for M .Which are followed by MSD bit which is sign bit and last 6 bits are E bits.
0101010000000010","(2.625)10","2","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"1","15","Represent (263.3)10 in 32 bit floting point notation","0
.100000111*2^9 0 0001001
10000011101001
1000000000","2","","","","","",""
"1","16","0110110000000100 Given no in floating point having MSB sign bit follwed
by 10 bits Mantissa and then 6 bits exponents.","(13.5)10","1","","","","","",""
"1","17","Represent (46.5)10 as floating point binary no stored in 24 bit register having 16-bit fractional M and 8 bit Exponent.","0 0000 0110
10111010000000
00","1","","","","","",""
"1","18","Express (5.875)10 in
i)explicit and ii)Implicit form.","i)0 0011 10111
ii)0 0010 01111","2","","","","","",""
"1","19","Express (-0.0625)10 in
i)explicit and ii)Implicit form.","i)1 1101 10000
ii)1 1110 00000","2","","","","","",""
"1","20","Express (1259.125)10 in
i)explicit and ii)Implicit form.","i)0 0001011
10011101011001
0000000000
ii) 0 0001010
00111010110010
0000000000","2","","","","","",""
"1","21","Perform arithmetic operation +70 and +80 give the status of overflow
bit=                     ","OV=1","1","","","","","",""
"1","22","Perform arithmetic operation -70 and -80 give the status of overflow
bit=               ","OV=1","1","","","","","",""
"1","23","Perform arithmetic operation +70 and -80 give the status of overflow
bit=           ","OV=0","1","","","","","",""
"1","24","What is the minimum integer in 11 bit 2's compliment representation in
decimal
a)-511                                                         a)1023
b)-512                               to                     b)1024
c)-1024                                                       c)512
d)-1024                                                       d)511","-1024 to 1023","1","","","","","",""
"1","25","Express (-21.75)in Explicit form M=8,E=6,S=1","1 000101
10101110","1","","","","","",""
"1","26","What is the result of evaluating following 2 expression using 3 decimal digit floting point arithmetic with rounding
a)(113.+-111.)+7.51
b)113.+(-111.+7.51)","a","1","9.51 and 10.0
respectively","10.0 and 9.51
respectively","9.51 and 9.51
respectively","10.0 and 10.0
respectively","",""
"1","27","If the decimal point is placed to the right of the first significant digit, then
the number is called                  ","b","1","Orthogonal","Normalized","Determinate","None of the
mentioned","",""
"1","28","Perform the addition operationusing signed 10's compliment representation
(+375)+(-240)","(0135)10","1","","","","","",""
"1","29","Represent (5.875)10 in explicit and implicit floating point number.","","2","","","","","",""
"1","30","x=0.0001101001101, represent x in implicit and explicit floating point
number.","","2","","","","","",""
"1","31","Express (13)10 and (-17)10 in standard floating point byte format.","","2","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"1","32","Perform the subtraction with following unsigndecimal number by taking 10's compliment representation
i)5250-1321
ii)20-100","","2","","","","","",""
"1","33","Perform the subtraction with following unsigndecimal number by taking 2's compliment representation
i)11010-1101
ii)100-110000","","2","","","","","",""
"1","34","Let R1 and R2 be two 4-bit registers that store numbers in 2’s complement form. For the operation R1+R2, which one of the following values of R1 and
R2 gives an arithmetic overflow?","b","1","R1 = 1011 and R2 = 1110","R1 = 1100 and R2 = 1010","R1 = 0011 and R2 = 0100","R1 = 1001 and R2 = 1111","",""
"1","35","What is the 16 bits pattern which represent (-13.5) in normalized signed magnitude fraction . S = 1 bit , Exponent = 7 bits , Mantissa = 8 bits .
Represent it in hexadecimal also.","(84D8)16","2","","","","","",""
"2","36","The operation executed on data stored in registers is called?","b","1","Data","Micro-operations","Transfer","Control","",""
"2","37","Which micro-operations carry information from one register to another:","a","1","Register transfer","Arithmetic","Logical","Program Control","",""
"2","38","A digital computer has a common bus system for 16 registers of 32 bits each. The bus is constructed with multiplexers. The number of multiplexers in the bus and size of multiplexers is respectively                      ","c","1","32,32:1","16,16:1","32,16:1","16,32:1","",""
"2","39","An 8-bit register contains the binary value 1100 1011. What is the register
value after arithmetic shift right?","b","1","1100 1011","1110 0101","0110 0101","0100 1011","",""
"2","40","Which are the operation that a computer performs on data that put in
register ?","d","1","Register transfer","Arithmetic","Logical","All of mentioned","",""
"2","41","Which micro operations carry information from one register to another?","a","1","Register transfer","Arithmetic","Logical","All of mentioned","",""
"2","42","Micro operation is shown as:","b","1","R1->R2","R1<-R2","Both","None","",""
"2","43","In memory transfer location address is supplied by                           that puts
this on address bus:","b","1","ALU","CPU","MAR","MDR","",""
"2","44","Operation of memory transfer are:","c","1","Read","Write","Both","None","",""
"2","45","In memory read the operation puts memory address on to a register known
as:","c","1","PC","ALU","MAR","All of these","",""
"2","46","In arithmetic operation numbers of register and the circuits for addition at
                         .","a","1","ALU","CPU","MAR","MDR","",""
"2","47","In which shift is used to divide a signed number by two:","b","1","Logical right-shift","Arithmetic right shift","Logical left shift","Arithmetic left shift","",""
"2","48","The third state of Tri-state buffer mainly known as                  ","a","1","High impedance","Low impedance","High capacitive","Low Resistance","",""
"2","49","A collection of lines that connects several devices is called                 ","a","1","Bus","Wires","Buffer","Gates","",""
"2","50","Register A holds the value 1010 & Register B holds the value 1100. What will
be the output of selective-set operation?","c","1","1111","1000","1110","0011'","",""
"2","51","Register A holds the value 1010 & Register B holds the value 1100. What will
be the output of selective-complement operation?","a","1","0110'","0000'","1111","1000","",""
"2","52","Register A holds the value 1010 & Register B holds the value 1100. What will
be the output of Selective-clear operation?","d","1","1000","1110","0101'","0010'","",""
"2","53","Register A holds the value 1010 & Register B holds the value 1100. What will
be the output of Mask operation?","b","1","0010'","1000","0101'","1100","",""
"2","54","Which of the following shift operation is known as rotate operation?","b","1","Arithmetic","Circular","Logical","All of Mentioned","",""
"2","55","By the help which operation we put memory address in memory address
register and data in data register?","a","1","Memory Write","Memory Read","I/o Read","I/o Write","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"2","56","RTL stands for","b","1","Random transfer
language","Register transfer
language","Arithmetic transfer
language","Read Trasnfer
Language","",""
"2","57","Which  language  is  termed  as  the  symbolic depiction used for indicating
the series:","","1","Random transfer
language","Register transfer
language","Arithmetic transfer
language","Read Trasnfer
Language","",""
"2","58","In  which transfer the  computer  register  are indicated in capital letters for
depicting its function:","a","1","Register Transfer","Memory Transfer","Bus Transfer","None","",""
"2","59","Every bit of register has:","c","1","2 common line","4 common line","1 common line","8 common line","",""
"2","60","How many types of shift micro operation","d","1","2","3","4","6","",""
"2","61","Which shift is a shift micro operation which is used  to  shift  a signed binary
number to  the  left  or right:","","1","Arithmetic","Circular","Logical","All of Mentioned","",""
"2","62","Arithmetic  left  shift  is  used  to  multiply a signed number by         ","a","1","2","4","8","0","",""
"2","63","The ALS represents                             ","a","1","Arithmetic Logic Shift
Unit.","Auto Logic Shift Unit.","Arithmetic Logic
Simple Unit.","Auto Logic Shift Unit.","",""
"2","64","A digital computer has a common bus system for k registers of n bits each. The bus is constructed with multiplexers. The number of multiplexers in the
bus and size of multiplexers is respectively","d","1","k, n:1","k, k:1","n, n:1","n, k:1","",""
"2","65","4- Bit Binary Adder can be designed using          Full Adder","a","1","4","8","16","2","",""
"2","66","Design and explain a common bus system for four register each of 4 bit
using multiplexer.","","3","","","","","",""
"2","67","A digital computer has a common bus system for 16 registers of 32 bits
each:
(i) How many selection input are there in each multiplexer?
(ii) What size of multiplexers are needed?
(iii) How many multiplexers are there in a bus?","","3","","","","","",""
"2","68","Represent the following conditional control statements by two register
transfer statements with control function. If (P = 1) then (R1 <-- R2) else if (Q=1) then (R1 <-- R3)","","3","","","","","",""
"2","69","Design 4-Bit Arithmetic circuit using 4 * 1 multiplexer with selection line S1 and S0 where S1S0 = 00 for decrement, S1S0= 11 for increment, S1S0 = 01
for Addition and S1S0 for Subtraction","","3","","","","","",""
"2","70","Register A holds the 8-bit binary 11011001. Determine the B operand and the logic microoperation to be performed in order to change the value of A to:
(i) 01111101
(ii) 11010000
(iii) 11111001","","3","","","","","",""
"2","71","Construct of common bus system with three-state buffers using diagram.","","3","","","","","",""
"2","72","Design a digital circuit for 4-bit binary adder.","","3","","","","","",""
"2","73","Design 4-Bit Binary Adder-Subtractor Circuit","","3","","","","","",""
"2","74","Design 4-Bit Binary Incrementer Circuit","","3","","","","","",""
"2","75","Design 4-Bit Combinational circuit Decrementer using four full-adder
circuits.","","2","","","","","",""
"2","76","Design a simple arithmetic circuit which should implement the following operations: Assume A and B are 3 bit registers.
Add : A+B, Add with Carry: A+B+1, Subtract: A+B’, Subtract with  Borrow: A+B’+1, Increment A: A+1, Decrement A: A-1, Transfer A:  A","","3","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"2","77","Implement the following register transfer statement. T2: R2 - R1, R1- R2","","","","","","","",""
"2","78","An 8-bit register contains the binary value 10011100. What is the register
content after arithmetic shift right? Starting from the initial value 10011100, determine the register content after an arithmetic shift left, and state whether there is an overflow.","","4","","","","","",""
"2","79","Design 4-bit Arithmetic Circuit with its Function Table.","","4","","","","","",""
"2","80","Construct 4-bit combinational circuit shifter diagram","","4","","","","","",""
